"arxiv_link","bibtex","models_used","used_quantization"
"https://www.lesswrong.com/posts/JvZhhzycHu2Yd57RN/causal-scrubbing-a-method-for-rigorously-testing","@misc{redwood_research_causal_scrubbing, author = {Redwood Research}, title = {Causal Scrubbing: a method for rigorously testing interpretability hypotheses}, howpublished = {LessWrong}, year = {2022}, url = {https://www.lesswrong.com/posts/JvZhhzycHu2Yd57RN/causal-scrubbing-a-method-for-rigorously-testing}}","Not specified (toy and non-toy models)","No"
"https://arxiv.org/abs/2202.05262","@inproceedings{meng2022locating, title={Locating and Editing Factual Associations in GPT}, author={Meng, Kevin and Bau, David and Andonian, Alex and Belinkov, Yonatan}, booktitle={Advances in Neural Information Processing Systems}, volume={35}, year={2022}}","GPT-2 XL (1.5B), GPT-J (6B)","No"
"https://arxiv.org/abs/2304.05969","@article{Goldowsky-Dill2023LocalizingMB, title={Localizing Model Behavior with Path Patching}, author={Nicholas Goldowsky-Dill and Chris MacLeod and Lucas Sato and Aryaman Arora}, journal={arXiv preprint arXiv:2304.05969}, year={2023}}","2-layer attention-only transformer, GPT-2 small (117M), GPT-2 XL (1.5B)","No"
"https://arxiv.org/abs/2304.14997","@inproceedings{Conmy2023TowardsAC, title={Towards Automated Circuit Discovery for Mechanistic Interpretability}, author={Arthur Conmy and Augustine N. Mavor-Parker and Aengus Lynch and Stefan Heimersheim and Adri{\`a} Garriga-Alonso}, booktitle={NeurIPS}, year={2023}}","GPT-2 Small","No"
"https://www.neelnanda.io/mechanistic-interpretability/attribution-patching","@misc{nanda_attribution_patching, author = {Nanda, Neel}, title = {Attribution Patching: Activation Patching At Industrial Scale}, howpublished = {neelnanda.io}, year = {2023}, url = {https://www.neelnanda.io/mechanistic-interpretability/attribution-patching}}","GPT-2 Small","No"
"https://arxiv.org/abs/2310.10348","@article{syed2023attribution, title={Attribution Patching Outperforms Automated Circuit Discovery}, author={Syed, Aaquib and Rager, Can and Conmy, Arthur}, journal={arXiv preprint arXiv:2310.10348}, year={2023}}","GPT-2 Small, GPT-2 Medium, GPT-2 XL","No"
"https://arxiv.org/abs/2403.00745","@article{Kramar2024AtP, title={{AtP}*: An efficient and scalable method for localizing {LLM} behaviour to components}, author={J{\'a}nos Kram{\'a}r and Tom Lieberum and Rohin Shah and Neel Nanda}, journal={arXiv preprint arXiv:2403.00745}, year={2024}, url={https://arxiv.org/abs/2403.00745}}","Pythia suite (410M to 12B)","No"
"https://transformer-circuits.pub/2022/solu/index.html","@misc{elhage2022softmax, title={{Softmax Linear Units}}, author={Nelson Elhage and Tristan Hume and Catherine Olsson and Neel Nanda and Tom Henighan and Scott Johnston and Sheer El Showk and Nicholas Joseph and Nova DasSarma and Ben Mann and Danny Hernandez and Amanda Askell and Kamal Ndousse and Andy Jones and Dawn Drain and Anna Chen and Yuntao Bai and Deep Ganguli and Liane Lovitt and Zac Hatfield-Dodds and Jackson Kernion and Tom Conerly and Shauna Kravec and Stanislav Fort and Saurav Kadavath and Josh Jacobson and Eli Tran-Johnson and Jared Kaplan and Jack Clark and Tom Brown and Sam McCandlish and Dario Amodei and Christopher Olah}, year={2022}, howpublished={Anthropic}, note={Published June 27, 2022}}","Transformer LMs (10M to 50B params)","No"
"https://aclanthology.org/2022.acl-long.581.pdf","@inproceedings{dai-etal-2022-knowledge, title = \"Knowledge Neurons in Pretrained Transformers\", author = \"Dai, Damai and Dong, Li and Hao, Yaru and Sui, Zhifang and Chang, Baobao and Wei, Furu\", editor = \"Muresan, Smaranda and Nakov, Preslav and Villavicencio: Aline\", month_numeric = \"5\", year = \"2022\", address = \"Dublin, Ireland\", publisher = \"Association for Computational Linguistics\", url = \"https://aclanthology.org/2022.acl-long.581/\", doi = \"10.18653/v1/2022.acl-long.581\", pages = \"8493--8502\"}","BERT-base-cased","No"
"https://aclanthology.org/2022.emnlp-main.765.pdf","@inproceedings{Wang2022FindingSN, title={{Finding Skill Neurons in Pre-trained Transformer-based Language Models}}, author={Xiaozhi Wang and Kaiyue Wen and Zhengyan Zhang and Lei Hou and Zhiyuan Liu and Juanzi Li}, booktitle={Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing (EMNLP)}, pages={11132--11152}, year={2022}, url={https://aclanthology.org/2022.emnlp-main.765/}, doi={10.18653/v1/2022.emnlp-main.765}, eprint={2211.07349}}","RoBERTa-base","No"
"https://transformer-circuits.pub/2022/toy_model/index.html","@article{Elhage2022ToyMO, title={Toy Models of Superposition}, author={Nelson Elhage and Tristan Hume and Catherine Olsson and Nicholas Schiefer and Tom Henighan and Shauna Kravec and Zac Hatfield-Dodds and Robert Lasenby and Dawn Drain and Carol Chen and Roger Grosse and Sam McCandlish and Jared Kaplan and Dario Amodei and Martin Wattenberg and Christopher Olah}, journal={arXiv:2209.10652}, year={2022}, url={https://arxiv.org/abs/2209.10652}}","Small ReLU networks (toy models)","No"
"https://transformer-circuits.pub/2024/scaling-monosemanticity/","@misc{Templeton2024ScalingMonosemanticity, title = {Scaling Monosemanticity: Extracting Interpretable Features from Claude 3 Sonnet}, author = {Templeton, Alex and Bricken, Todd and Batson, Jeffrey and Chen, Ben and Jermyn, Alex and Conerly, Tristan and Turner, Nicholas and Anil, Chandan and Denison, Catherine and Askell, Amanda and Henighan, Tom and others}, howpublished = {\url{https://transformer-circuits.pub/2024/scaling-monosemanticity/index.html}}, year = {2024}, month = {May}, note = {Anthropic}}","Claude 3 Sonnet","No"
"https://www.lesswrong.com/posts/z6QQJbtpkEAX3Aojj/interim-research-report-taking-features-out-of-superposition","@misc{mathis_interim_report, author = {Mathis, Ryan}, title = {[Interim research report] Taking features out of superposition with sparse autoencoders}, howpublished = {LessWrong}, year = {2023}, url = {https://www.lesswrong.com/posts/z6QQJbtpkEAX3Aojj/interim-research-report-taking-features-out-of-superposition}}","6-layer transformer (31M parameters)","Yes (bfloat16)"
"https://www.lesswrong.com/posts/wqRqb7h6ZC48iDgfK/tentatively-found-600-monosemantic-features-in-a-small-lm","@misc{saunders_monosemantic_features, author = {Saunders, William}, title = {(tentatively) Found 600+ Monosemantic Features in a Small LM Using Sparse Autoencoders}, howpublished = {LessWrong}, year = {2023}, url = {https://www.lesswrong.com/posts/wqRqb7h6ZC48iDgfK/tentatively-found-600-monosemantic-features-in-a-small-lm}}","Pythia-70M","No"
"https://arxiv.org/abs/2303.13506","@misc{michaud2024quantizationmodelneuralscaling, title={The Quantization Model of Neural Scaling}, author={Eric J. Michaud and Ziming Liu and Uzay Girit and Max Tegmark}, year={2024}, eprint={2303.13506}, archivePrefix={arXiv}, primaryClass={cs.LG}, url={https://arxiv.org/abs/2303.13506},}","Theoretical paper, mentions \"toy datasets\" and \"LLMs\" generally, no specific models for experimental quantization.","No"
